,Date,Action,Type,ADBE_Shares,ORCL_Shares,ADBE_Price,ORCL_Price
47,2021-12-27,Close Position,lower,86.55311008505386,558.4096436091211,577.6799926757812,89.54000091552734
48,2021-12-28,Open Position,upper,87.81790306026954,564.0157827341254,569.3599853515625,88.6500015258789
49,2022-01-03,Close Position,upper,88.59436262131166,568.828204004972,564.3699951171875,87.9000015258789
50,2022-01-04,Open Position,lower,90.25270758122744,562.809568449687,554.0,88.83999633789062
51,2022-01-12,Close Position,lower,93.91964321541786,566.187310409843,532.3699951171875,88.30999755859375
52,2022-01-20,Open Position,lower,97.87608770208823,604.4487338267353,510.8500061035156,82.72000122070312
53,2022-01-24,Close Position,lower,96.21676208279692,606.6488851104984,519.6599731445312,82.41999816894531
54,2022-01-25,Open Position,lower,99.45894310667998,616.7509582856477,502.7200012207031,81.06999969482422
55,2022-01-28,Close Position,lower,96.49529603100665,621.272339891029,518.1599731445312,80.4800033569336
56,2022-01-31,Open Position,upper,93.58038768919842,616.0670002944216,534.2999877929688,81.16000366210938
57,2022-02-03,Close Position,upper,97.87992348590649,610.202569077955,510.8299865722656,81.94000244140625
58,2022-02-10,Open Position,lower,101.00602220048746,610.8735605634586,495.0199890136719,81.8499984741211
59,2022-02-24,Close Position,lower,107.80043812350914,668.3598667522785,463.82000732421875,74.80999755859375
60,2022-03-01,Open Position,upper,107.13979768731318,657.8081646463644,466.67999267578125,76.01000213623047
61,2022-03-03,Close Position,upper,108.91348231781238,638.9776357827476,459.0799865722656,78.25
62,2022-03-07,Open Position,lower,114.16307021175145,672.7664182630788,437.9700012207031,74.31999969482422
63,2022-03-16,Close Position,lower,113.0301149645415,625.3126634878795,442.3599853515625,79.95999908447266
64,2022-03-18,Open Position,upper,110.29493190614133,612.144953638445,453.3299865722656,81.68000030517578
65,2022-03-23,Close Position,upper,118.23126205161115,621.9679111782447,422.8999938964844,80.38999938964844
66,2022-03-25,Open Position,lower,115.84264066919488,611.7704385944851,431.6199951171875,81.7300033569336
67,2022-03-28,Close Position,lower,111.10863961901889,598.0861353182657,450.010009765625,83.5999984741211
68,2022-03-29,Open Position,upper,107.22021195231815,593.1901703276567,466.3299865722656,84.29000091552734
69,2022-04-06,Close Position,upper,112.5289796120209,608.8650551351946,444.3299865722656,82.12000274658203
